Cation,Anion,Meilleure Solubilite,Temp Opt,Temps Opt,Cellulose Opt
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCCCc1cc(=O)oc2cc(O[C@@H](C)C(=O)NCC3CCC(C(=O)[O-])CC3)ccc12,2.7942,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1cc(C)cc(NS(=O)(=O)c2cc(C(=O)[O-])cc(C)c2C)c1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)COC(=O)c1cccc(NC(=O)CCC(=O)[O-])c1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)NC(=O)CN(C)N([O-])OCOC(=O)C(C)(C)C)cc2)cc1,189.3830,160,5.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=S(=O)([O-])c1ccc(OCC23CC4CC(CC(C4)C2)C3)cc1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1ccc2cc(C(=O)c3ccc4c(c3)C(C)(C)C(C)C4(C)C)ccc2c1C(=O)[O-],1.9039,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1ccc(OC)c(NC(=O)[C@@H]2CC[C@@](C)(C(=O)[O-])C2(C)C)c1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCCCCCCCC(CCOC(=O)C=CC(=O)[O-])[Si](C)(C)O[Si](C)(C)C,0.6490,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])c1ccccc1C(=O)Nc1ccc2c(c1)OCO2,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)(C)OC(=O)c1ccc(N(CCc2cccc(Cl)c2Cl)S(=O)[O-])cc1,0.9852,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCOc1ccc(-c2nc(C)c(C(=O)[O-])s2)cc1OCC,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,[NH-]C[C@@H](C(=O)Nc1ccc(N2CCOCC2=O)cc1F)N(CC(F)(F)F)C1CC1,1.8122,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C1CC2(CCN(C(=O)c3ccccc3C(=O)[O-])CC2)Oc2ccccc21,1.3190,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1ccc(-n2c(O)c(C=Nc3cccc(C(=O)[O-])c3)c(=O)[nH]c2=O)cc1C,1.2889,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C(Nc1ccc(S(=O)(=O)[N-]c2nccs2)cc1)c1ccc(Br)o1,0.8159,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1c(C(=O)[O-])ccc2c1NC(c1ccc(Cl)cc1)C1CC=CC21,0.9190,200,5.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])COCC(O)C(Sc1ccc2ccccc2c1)c1ccccc1,1.0521,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C=CC=CN(C[C@H](CCCCOCC)OCC)S(=O)[O-],0.2881,200,0.5,MCC
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])c1cc(-c2ccco2)nc2ccc3ccccc3c12,0.5356,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C1C2CC3CC1CC(CCOC(=O)C(F)(F)S(=O)(=O)[O-])(C3)C2,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COC(=O)C(Cn1c(Br)c(C2CCCCC2)c2ccc(C(=O)[O-])cc21)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,70.7889,200,2.0,MCC
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1ccc(N2C(=O)NC(=O)[C@H]2CC(=O)[O-])cc1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCN1C(=O)NC(=Cc2ccc(-c3cc(C(=O)[O-])ccc3Cl)o2)C1=O,0.9454,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])c1cccc(NN=Cc2ccc(OC(F)F)cc2OC(F)F)c1,0.8999,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,O=C([O-])NCCN1CCC(Cc2nc3cccnc3n2Cc2cccs2)CC1,1.9567,200,2.0,MCC
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1ccccc1OCC(=O)NC(CC(=O)[O-])c1ccc(C(C)(C)C)cc1,1.0028,200,10.0,Avicel
